ID,MSSubClass,MSZoning.C..all.,MSZoning.FV,MSZoning.RH,MSZoning.RL,MSZoning.RM,log.LotFrontage,log.LotArea,Street.Grvl,Street.Pave,Alley.Grvl,Alley.None,Alley.Pave,LotShape.IR1,LotShape.IR2,LotShape.IR3,LotShape.Reg,LandContour.Bnk,LandContour.HLS,LandContour.Low,LandContour.Lvl,Utilities.AllPub,Utilities.NoSeWa,LotConfig.Corner,LotConfig.CulDSac,LotConfig.FR2,LotConfig.FR3,LotConfig.Inside,LandSlope.Gtl,LandSlope.Mod,LandSlope.Sev,Neighborhood.Blmngtn,Neighborhood.Blueste,Neighborhood.BrDale,Neighborhood.BrkSide,Neighborhood.ClearCr,Neighborhood.CollgCr,Neighborhood.Crawfor,Neighborhood.Edwards,Neighborhood.Gilbert,Neighborhood.IDOTRR,Neighborhood.MeadowV,Neighborhood.Mitchel,Neighborhood.NAmes,Neighborhood.NoRidge,Neighborhood.NPkVill,Neighborhood.NridgHt,Neighborhood.NWAmes,Neighborhood.OldTown,Neighborhood.Sawyer,Neighborhood.SawyerW,Neighborhood.Somerst,Neighborhood.StoneBr,Neighborhood.SWISU,Neighborhood.Timber,Neighborhood.Veenker,Condition1.Artery,Condition1.Feedr,Condition1.Norm,Condition1.PosA,Condition1.PosN,Condition1.RRAe,Condition1.RRAn,Condition1.RRNe,Condition1.RRNn,Condition2.Artery,Condition2.Feedr,Condition2.Norm,Condition2.PosA,Condition2.PosN,Condition2.RRAe,Condition2.RRAn,Condition2.RRNn,BldgType.1Fam,BldgType.2fmCon,BldgType.Duplex,BldgType.Twnhs,BldgType.TwnhsE,HouseStyle.1.5Fin,HouseStyle.1.5Unf,HouseStyle.1Story,HouseStyle.2.5Fin,HouseStyle.2.5Unf,HouseStyle.2Story,HouseStyle.SFoyer,HouseStyle.SLvl,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle.Flat,RoofStyle.Gable,RoofStyle.Gambrel,RoofStyle.Hip,RoofStyle.Mansard,RoofStyle.Shed,RoofMatl.ClyTile,RoofMatl.CompShg,RoofMatl.Membran,RoofMatl.Metal,RoofMatl.Roll,RoofMatl.Tar.Grv,RoofMatl.WdShake,RoofMatl.WdShngl,Exterior1st.AsbShng,Exterior1st.AsphShn,Exterior1st.BrkComm,Exterior1st.BrkFace,Exterior1st.CBlock,Exterior1st.CemntBd,Exterior1st.HdBoard,Exterior1st.ImStucc,Exterior1st.MetalSd,Exterior1st.Plywood,Exterior1st.Stone,Exterior1st.Stucco,Exterior1st.VinylSd,Exterior1st.Wd.Sdng,Exterior1st.WdShing,Exterior2nd.AsbShng,Exterior2nd.AsphShn,Exterior2nd.Brk.Cmn,Exterior2nd.BrkFace,Exterior2nd.CBlock,Exterior2nd.CmentBd,Exterior2nd.HdBoard,Exterior2nd.ImStucc,Exterior2nd.MetalSd,Exterior2nd.Other,Exterior2nd.Plywood,Exterior2nd.Stone,Exterior2nd.Stucco,Exterior2nd.VinylSd,Exterior2nd.Wd.Sdng,Exterior2nd.Wd.Shng,MasVnrType.BrkCmn,MasVnrType.BrkFace,MasVnrType.None,MasVnrType.Stone,log.MasVnrArea,ExterQual.Ex,ExterQual.Fa,ExterQual.Gd,ExterQual.TA,ExterCond.Ex,ExterCond.Fa,ExterCond.Gd,ExterCond.Po,ExterCond.TA,Foundation.BrkTil,Foundation.CBlock,Foundation.PConc,Foundation.Slab,Foundation.Stone,Foundation.Wood,BsmtQual.Ex,BsmtQual.Fa,BsmtQual.Gd,BsmtQual.None,BsmtQual.TA,BsmtCond.Fa,BsmtCond.Gd,BsmtCond.None,BsmtCond.Po,BsmtCond.TA,BsmtExposure.Av,BsmtExposure.Gd,BsmtExposure.Mn,BsmtExposure.No,BsmtExposure.None,BsmtFinType1.ALQ,BsmtFinType1.BLQ,BsmtFinType1.GLQ,BsmtFinType1.LwQ,BsmtFinType1.None,BsmtFinType1.Rec,BsmtFinType1.Unf,log.BsmtFinSF1,BsmtFinType2.ALQ,BsmtFinType2.BLQ,BsmtFinType2.GLQ,BsmtFinType2.LwQ,BsmtFinType2.None,BsmtFinType2.Rec,BsmtFinType2.Unf,BsmtFinSF2,log.BsmtUnfSF,log.TotalBsmtSF,Heating.Floor,Heating.GasA,Heating.GasW,Heating.Grav,Heating.OthW,Heating.Wall,HeatingQC.Ex,HeatingQC.Fa,HeatingQC.Gd,HeatingQC.Po,HeatingQC.TA,CentralAir.N,CentralAir.Y,Electrical.FuseA,Electrical.FuseF,Electrical.FuseP,Electrical.Mix,Electrical.SBrkr,log.X1stFlrSF,log.X2ndFlrSF,LowQualFinSF,log.GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual.Ex,KitchenQual.Fa,KitchenQual.Gd,KitchenQual.TA,TotRmsAbvGrd,Functional.Maj1,Functional.Maj2,Functional.Min1,Functional.Min2,Functional.Mod,Functional.Sev,Functional.Typ,Fireplaces,FireplaceQu.Ex,FireplaceQu.Fa,FireplaceQu.Gd,FireplaceQu.None,FireplaceQu.Po,FireplaceQu.TA,GarageType.2Types,GarageType.Attchd,GarageType.Basment,GarageType.BuiltIn,GarageType.CarPort,GarageType.Detchd,GarageType.None,GarageYrBlt,GarageFinish.Fin,GarageFinish.RFn,GarageFinish.Unf,GarageCars,log.GarageArea,GarageQual.Ex,GarageQual.Fa,GarageQual.Gd,GarageQual.Po,GarageQual.TA,GarageCond.Ex,GarageCond.Fa,GarageCond.Gd,GarageCond.Po,GarageCond.TA,PavedDrive.N,PavedDrive.P,PavedDrive.Y,log.WoodDeckSF,log.OpenPorchSF,log.EnclosedPorch,log.X3SsnPorch,log.ScreenPorch,PoolArea,log.PoolArea,PoolQC.Ex,PoolQC.Fa,PoolQC.Gd,PoolQC.None,Fence.GdPrv,Fence.GdWo,Fence.MnPrv,Fence.MnWw,Fence.None,MiscFeature.Gar2,MiscFeature.None,MiscFeature.Othr,MiscFeature.Shed,MiscFeature.TenC,log.MiscVal,MoSold,YrSold,SaleType.COD,SaleType.Con,SaleType.ConLD,SaleType.ConLI,SaleType.ConLw,SaleType.CWD,SaleType.New,SaleType.Oth,SaleType.WD,SaleCondition.Abnorml,SaleCondition.AdjLand,SaleCondition.Alloca,SaleCondition.Family,SaleCondition.Normal,SaleCondition.Partial,log.SalePrice
1,60,0,0,0,1,0,4.189654742,9.042040057,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2003,2003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.283203729,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.561030666,0,0,0,0,0,0,1,0,5.017279837,6.753437919,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.753437919,6.751101469,0,7.444833274,1,0,2,1,3,1,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2003,0,1,0,2,6.308098442,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4.127134385,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.24769432
2,20,0,0,0,1,0,4.394449155,9.169622539,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,8,1976,1976,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6.886531643,0,0,0,0,0,0,1,0,5.65248918,7.141245122,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.141245122,0,0,7.141245122,0,1,2,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1976,0,1,0,2,6.133398043,0,0,0,0,1,0,0,0,0,1,0,0,1,5.700443573,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.10901093
3,60,0,0,0,1,0,4.234106505,9.328212293,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2001,2002,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.093750201,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,6.188264123,0,0,0,0,0,0,1,0,6.075346031,6.825460036,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.825460036,6.765038977,0,7.488293515,1,0,2,1,3,1,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2001,0,1,0,2,6.411818268,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3.761200116,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,9,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.31716669
4,70,0,0,0,1,0,4.110873864,9.16440114,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,1915,1970,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5.379897354,0,0,0,0,0,0,1,0,6.293419279,6.629363253,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6.869014451,6.629363253,0,7.448916103,1,0,1,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1998,0,0,1,3,6.466144724,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3.583518938,5.609471795,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.8493977
5,60,0,0,0,1,0,4.442651256,9.565283818,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,5,2000,2000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.860786223,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6.486160789,0,0,0,0,0,0,1,0,6.196444128,7.044032897,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.044032897,6.960347729,0,7.695757991,1,0,2,1,4,1,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2000,0,1,0,3,6.72982407,0,0,0,0,1,0,0,0,0,1,0,0,1,5.262690189,4.442651256,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.4292162
6,50,0,0,0,1,0,4.454347296,9.555064185,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1993,1995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.597145702,0,0,0,0,0,0,1,0,4.17438727,6.680854679,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.680854679,6.340359304,0,7.217443432,1,0,1,1,1,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1993,0,0,1,2,6.17586727,0,0,0,0,1,0,0,0,0,1,0,0,1,3.713572067,3.433987204,0,5.771441123,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6.552507887,10,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.87059991
7,20,0,0,0,1,0,4.33073334,9.21880445,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,5,2004,2005,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.231108617,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7.222566019,0,0,0,0,0,0,1,0,5.762051383,7.430707083,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.43543802,0,0,7.43543802,1,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2004,0,1,0,2,6.456769656,0,0,0,0,1,0,0,0,0,1,0,0,1,5.545177444,4.060443011,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,8,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.63460303
8,60,0,0,0,1,0,0,9.247925132,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,6,1973,1973,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.484796933,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6.756932389,0,1,0,0,0,0,0,32,5.379897354,7.010311867,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.010311867,6.891625897,0,7.645397699,1,0,2,1,3,1,0,0,0,1,7,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1973,0,1,0,2,6.184148891,0,0,0,0,1,0,0,0,0,1,0,0,1,5.463831805,5.323009979,5.433722004,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5.860786223,11,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.20607265
9,50,0,0,0,0,1,3.951243719,8.719480761,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,5,1931,1950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.859614904,6.859614904,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6.930494766,6.624065228,0,7.481555702,0,0,2,0,2,2,0,0,0,1,8,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1931,0,0,1,2,6.150602768,0,1,0,0,0,0,0,0,0,1,0,0,1,4.510859507,0,5.327876169,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,2008,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.7745202
10,190,0,0,0,1,0,3.931825633,8.912069098,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,6,1939,1950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.747586527,0,0,0,0,0,0,1,0,4.94875989,6.899723107,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.982862751,0,0,6.982862751,1,0,1,0,2,2,0,0,0,1,5,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1939,0,1,0,1,5.327876169,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.609437912,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.6784399
